"","SEXORNT","REALINC","CONINC","CONRINC","BALLOT","WRKSTAT","HRS1","HRS2","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSLF","SPPRES80","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","PAIND10","MAWRKSLF","MAOCC10","MAIND10","SIBS","CHILDS","AGE","AGEKDBRN","EDUC","PAEDUC","MAEDUC","SPEDUC","DEGREE","PADEG","MADEG","SPDEG","DIPGED","SEX","RACE","RES16","REG16","FAMILY16","FAMDIF16","INCOM16","INCOME","REGION","PARTYID","NATEDUC","NATEDUCY","ATTEND","RELIG16","HAPPY","HAPMAR","HAPCOHAB","HEALTH","LIFE","CONEDUC","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","WEEKSWRK","JOBLOSE","JOBFIND","SATJOB","SATFIN","ABNOMORE","ABHLTH","ABPOOR","ABANY","PILLOK","SEXEDUC","FECHLD","COMPUSE","YEARSJOB","MNTLHLTH","INTEDUC","SPSCHOOL","OPPARED","OPEDUC","OPSEX","TOPPROB1","TOPPROB2","MASEI10","PASEI10","SEI10","SPSEI10","INCOME16","HLTHSTRT","COSEI10","ID_","YEAR"
"3457",-100,40900,63300,34815,1,1,32,-100,1,6220,770,3,-100,2,-100,-70,-100,-100,1,6220,770,2,5860,3390,5,2,55,18,12,8,10,-100,1,0,0,-100,1,1,2,3,6,1,-100,3,12,6,3,-100,2,3,1,2,-100,1,3,2,-100,3,3,3,7,35,3,3,1,2,2,1,2,2,2,1,3,1,28,5,-70,-70,-70,-70,-70,-70,-70,35.8,24.6,24.6,-100,22,-100,35.8,3458,2022
"3458",-100,33742.5,52222.5,-100,1,7,-100,-100,1,4020,8680,1,1,2,2,-70,7630,8880,2,8500,3890,2,5700,7860,6,3,49,18,11,12,12,13,1,1,1,1,2,2,1,3,5,8,-100,3,12,6,6,-100,2,1,4,3,1,-100,3,2,-100,4,7,4,7,0,-100,-100,1,2,2,1,2,2,3,2,3,1,-100,-100,-70,-70,-70,-70,-70,-70,-70,38.8,27.1,13.6,35.4,21,-100,-100,3459,2022
"3459",3,15337.5,23737.5,20572.5,3,7,-100,-100,2,4710,8770,3,-100,2,-100,-70,-100,-100,2,3400,8180,2,10,6870,2,2,40,19,13,15,17,-100,1,1,3,-100,1,2,1,3,6,1,-100,4,12,6,5,1,-100,4,1,1,-100,-100,2,2,2,-100,-100,-100,-100,52,-100,-100,3,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,77.4,53,57.5,-100,17,-100,-100,3460,2022
"3460",-98,1840.5,2848.5,-100,3,6,-100,-100,2,4020,8680,5,-100,-100,-100,-70,-100,-100,-100,-100,-100,2,-99,-99,4,0,22,-100,7,-100,13,-100,0,-100,1,-100,-100,1,2,3,6,5,5,1,4,6,2,1,-100,4,9,3,-100,-100,2,2,1,-100,-100,-100,-100,44,-100,-100,-100,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,-100,-100,13.6,-100,4,-100,-100,3461,2022
"3461",-97,22495,34815,-100,3,8,-100,-100,2,-99,-99,5,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-99,-99,4,8,-99,-97,13,-100,14,-100,1,-100,1,-100,1,1,3,3,6,5,2,5,12,6,3,1,-100,8,4,3,-100,-100,4,3,1,-100,-100,-100,-100,52,-100,-100,-100,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,-100,-100,-100,-100,19,-100,-100,3462,2022
"3462",3,2658.5,4114.5,-100,3,7,-100,-100,2,4720,5090,3,-100,2,-100,-70,-100,-100,-100,-100,-100,2,4110,8680,6,5,43,18,10,-100,12,-100,0,-100,1,-100,-100,2,1,3,6,5,-100,3,6,6,4,-100,1,0,4,3,-100,-98,3,2,2,-100,-100,-100,-100,0,-100,-100,2,3,2,1,2,2,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,19.6,-100,21.6,-100,6,3,-100,3463,2022
"3463",-100,49080,75960,34815,1,1,50,-100,2,7210,6170,1,2,2,-100,-70,-100,-97,2,2310,7860,2,4510,8980,0,3,51,23,11,20,20,12,0,4,4,1,-100,1,1,3,6,0,2,3,12,6,5,1,-100,7,1,2,1,-100,2,2,-100,5,7,7,5,52,4,1,2,2,-100,-100,-100,-100,2,1,1,1,9,0,-70,-70,-70,-70,-70,-70,-70,24.6,80.9,35.3,-100,23,-100,-100,3464,2022
"3464",-100,65440,101280,-100,2,6,-100,-100,-100,-100,-100,5,-100,-100,-100,-70,-100,-100,2,230,7860,2,2000,7860,2,0,20,-100,14,17,17,-100,1,4,4,-100,1,2,1,3,6,1,-100,4,12,6,4,1,-100,7,1,1,-100,-100,2,-100,2,1,6,2,4,11,-100,-100,-100,1,-100,-100,-100,-100,4,1,1,1,-100,-100,-70,-70,-70,-70,-70,-70,-70,63.7,75.5,-100,-100,25,-100,-100,3465,2022
"3465",-100,-100,-100,1266,2,1,32,-100,2,4230,8290,3,-100,2,-100,-70,-100,-100,2,7350,3570,-100,-100,-100,1,0,28,-100,13,12,-98,-100,1,1,-98,-100,1,2,1,3,6,1,-100,3,-100,6,6,1,-100,6,1,1,-100,-100,2,-100,2,2,7,1,7,52,4,1,1,1,-100,-100,-100,-100,1,1,1,2,2,0,-70,-70,-70,-70,-70,-70,-70,-100,37.3,12.6,-100,-98,-100,-100,3466,2022
"3466",-100,-100,-100,-100,1,3,-100,40,2,6440,4590,5,-100,-100,-100,-70,-100,-100,1,-99,-99,-100,-100,-100,4,4,34,16,9,-98,-98,-100,0,-98,-98,-100,-100,1,1,1,6,1,-100,1,-100,6,3,3,-100,3,1,3,-100,1,3,1,-100,7,7,7,7,-97,3,3,1,1,-100,-100,-100,-100,1,2,4,2,0.25,0,-70,-70,-70,-70,-70,-70,-70,-100,-100,36.2,-100,-98,-100,-100,3467,2022
